id|title|starring|writer|editor|
241|Kaliyugaya|Punya Heendeniya Henry Jayasena Trelicia Gunawardena Wickrema Bogoda|A.J. Gunawardena||
242||Yamila Greco  Eduardo Poli  Andrea Alfonso  Rodrigo Bianco  Silvia Paz  Salvador Haidar|Mariano Peralta||
243|||Michael Sauter David Keller||
244||H?meyra ?erif Sezer ?etin Tekindor Ege Tanman Fikret Ku?kan|?a?an Irmak||
245|Vampire Circus|Sarah Ward John Moulder-Brown Lynne Frederick Anthony Higgins (actor) Robin Sachs Adrienne Riccoboni|Judson Kinberg||
246|The Coastline||||
247||Guy Bridges Kibbee Reginald Gardiner Allyn Joslyn Gladys Smith Dolores Moran Benjamin Kubelsky|||
248||Mumtaz (actress) Jeetendra|||
249||William Davis Garwood Jr. Charlotte Burton|||
250||Wallace Fitzgerald Beery|||
251|Gwendoline|Brent Huff Isabelle Breitman Jean Rougerie Bernadette Lafont Tawny Kitaen|Just Jaeckin John Willie||
252||Hobart Bosworth Betty Harte|Robert Louis Stevenson George F. Fish Luella Forepaugh||
253|A Home at the End of the World|Colin James Farrell Mary Elizabeth Spacek Robin Gayle Wright Dallas Roberts|Michael Cunningham||
254||Ethel Agnes Zimmermann Donald David Dixon Ronald Ou2019Connor Norma Jeane Mortenson|Lamar Trotti (story) Phoebe Ephron Henry Ephron||
255||Othon Bastos  Mauru00EDcio do Valle|||
256||Chaaru Haasan R. Nagesh Nalini Murthy|Poornachandra Tejaswi||
257|The Mirror||||
258|Pat and Mike|Aldo DaRe Jim Backus Charles Dennis Buchinsky Spencer Bonaventure Tracy Katharine Hepburn Sammy White|Garson Kanin Ruth Gordon Jones||
259|Genie Award for Best Motion Picture|Patrick Goyette Lothaire Bluteau|Robert Lepage||
260|Party|Vijaya Khote Manohar Singh Om Puri Rohini Oak Naseeruddin Shah|Govind Nihalani Mahesh Elkunchwar||
261|The Computer Wore Tennis Shoes|Kurt Vogel Russell Joe Flynn William Schallert Alan Hewitt Cesar Julio Romero, Jr.|Joseph L. McEveety||
262|Rain Without Thunder|Jeff Daniels (actor) Betty Lynn Buckley|Gary Bennet||
263|Mabel and Fatty's Married Life|Roscoe Arbuckle Mabel Normand|||
264|Sissi - Die junge Kaiserin|Gustav Knuth Vilma Degischer Josef Meinrad Magda Schneider Rosemarie Magdalena Albach-Retty Karlheinz B?hm|Ernst Marischka||
265|Contract Killers|Wolf Muser Frida Show Rhett Giles Nick Mancuso Brewier Welch|Justin B. Rhodes Ric Moxley||
266||Eric Lidberg Shannon Summers Sharyn Kinzie Dee Duffy Del 'Sonny' West Ross Hagen Tony Lorea|Tony Huston||
267|Gangster No. 1|Paul Bettany David Wheeler Malcolm John Taylor|Johnny Ferguson||
268|George of the Jungle|Thomas Hayden Church Leslie Mann Holland Taylor John Marwood Cleese Brendan Fraser|Dana Olsen Audrey Wells||
269|Freedom Writers|Imelda Mary Philomena Bernadette Staunton Scott Glenn Patrick Galen Dempsey Hilary Ann Swank|Erin Gruwell Richard LaGravenese The Freedom Writers Diary||
270||Julie Depardieu J?r?my Sanguinetti S?bastien Roch|Etienne Faure||
271|Akasa Veedhilo|Akkineni Nagarjuna Rao Gadde Rajendra Prasad Raveena Tandon|Singeetam Srinivasa Rao||
272||The Snow Queen (1957 film)#Voices|Bob Fisher Lev Atamanov Nikolay Zabolotskiy Alan Lipscott Nikolai Erdman Georgiy Grebner Hans Christian Andersen||
273||Ronald Francis Perlman Selma Blair Beitner Doug Jones Periwinkle Kay O'Brien|Mike Mignola Tad Stones||
274|An Everlasting Piece|Billy Connolly Anna Louise Friel Br?an F. O'Byrne Barry McEvoy|Barry McEvoy||
275||Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy|Ratnam||
276|Mon beau-fru00E8re a tuu00E9 ma soeur||Jacques Rouffio Georges Conchon||
277||Sacha Noam Baron Cohen 1987|Sacha Noam Baron Cohen 1987||
278|Guyana Tragedy: The Story of Jim Jones|Levardis Robert Martyn Burton, Jr. Ned Thomas Beatty Todd Jones Randall Rudy Quaid Powers Boothe Colleen Dewhurst Veronica Cartwright|Ernest Tidyman Charles A. Krause||
279||Elina Salo Pentti Siimes Matti Ranin Leo Jokela Joel Rinne|Mika Waltari Kaarlo Nuorvala||
280|Abby|Terry Carter Carol Speed Austin Stoker William Marshall|G. Cornell Layne||
281|Quick Change|Anthony Marcus Shalhoub Jason Nelson Robards Jr. Virginia Elizabeth Davis Randall Rudy Quaid Philip Bosco William James Murray|Jay Cronley Howard Franklin||
282||Mid-Missourri Ballers Troy McCray Kadour Ziani MyRee Bowden Mr. Biz Taking Flight Slam Nation S1Sf|Azur Allen||
283|Genie Award for Best Motion Picture|Gilles Maheu Lynne Adams (Canadian actress) Roger Lebel|Jean-Claude Lauzon||
284|All of Me|Stephen Glenn Martin Richard Libertini Victoria Tennant Mary Jean Tomlin Madolyn Smith|Edwin Davis (writer) Phil Alden Robinson Henry Olek||
285|Vertical Limit|Robin Tunney Christopher Eugene O'Donnell Scott Glenn William Paxton Izabella Dorota Scorupco|Terry Hayes Robert King||
286|Never Die Alone|David James Arquette DMX (rapper)|James Gibson (writer)||
287||Bryce Dallas Howard Chris Evans Ann-Margret Olsson Edna Rae Gillooly|Tennessee Williams||
288||Stepan Shagaida Stepan Shkurat Yevgeniya Melnikova Yelena Maksimova Sergei Stolyarov Vladimir Uralsky Boris Dobronravov|Alexander Dovzhenko||
289|The Bushido Blade|Richard Boone|||
290||Rafe Joseph Spall David Suchet Marc Warren Sophia Myles Stephanie Leonidas Tom Burke (actor)|Stewart Harcourt||
291||u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C Pichet Pumhem|||
292|Metro|Sharman Joshi Shilpa Shetty Kay Kay Menon Kangana Ranaut Irfan Khan Konkona Sen Sharma Shiney Ahuja|Anurag Basu||
293|Cold Creek Manor|Stephen Dorff Jr. Dennis William Quaid Sharon Vonne Stone|Richard Jeffries||
294||James Stewart (actor)|Owen Crump||
295||Laura Morante C?cile de France Val?rie Lemercier Albert Dupontel|Christopher Thompson||
296|||Pao Lei||
297||Ingvar E. Sigur?sson ?g?sta Eva Erlendsd?ttir Atli Rafn Sigur?sson Bj?rn Hlyndur Haraldsson ?laf?a Hr?nn J?nsd?ttir|Arnaldur Indri?ason||
298|The Baxter|Michelle Williams (actor) Michael Showalter Elizabeth Maresal Mitchell|Michael Showalter||
299||Caroline Langrishe Therese Liotard Eva Maria Mbinere Vadim Glowna Rosemarie Magdalena Albach-Retty William Russel Max Carl Adolf von Sydow Harry Dean Stanton Harvey Keitel Bernhard Wicki|David Rayfiel||
300|The Mothman Prophecies|Laura Linney Lucinda Jenney Will Patton Debra Lynn Messing Bill Laing Richard Tiffany Gere Alan Arthur Bates|Lewis Klahr Alison Cross Richard Hatem Ernest Marrero Becky Johnston||
301|Korczak|Wojciech Pszoniak Ewa Dalkowska|Agnieszka Holland||
302|Dirty Hands||Cetywa Powell||
303|Encino Man|Sean Patrick Duke Michael Robert Deluise Megan Marie Ward Robin Tunney Brendan Fraser Paul Montgomery Shore|George Zaloom Shawn Schepps||
304|Faustrecht der Freiheit|Kurt Raab El Hedi ben Salem Peter Chatel Rainer Werner Fassbinder Karlheinz B?hm|Rainer Werner Fassbinder Christian Hohoff||
305|The Crimes of Stephen Hawke|D. J. Williams Marjorie Taylor Graham Soutten Eric Harrison Portman|Jack Celestin Paul White Frederick Hayward Tod Slaughter H. F. Maltby||
306|Frostbiten|Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg|Daniel Ojanlatva & Pidde Andersson||
307|National Lampoon Goes the the Movies|Peter Riegert Robert Martin Culp Diane Lane Robby Benson Richard Windmark|Gerald Sussman||
308||William Davis Garwood Jr.|||
309||Phylbert Angellie Ranollo Fagestrom John Lloyd Cruz John Prats Heart Evangelista|||
310|The Facts of Life|Leslie Townes Hope Lucille Du00E9siru00E9e Ball|Melvin Frank Norman Panama||
311||Roger Meddows-Taylor Paul Rodgers Brian May|||
312|Raining Stones Jury Prize (Cannes Film Festival)|Bruce Jones|Jim Allen||
313||Cone McCaslin Steve Jocz Deryck Whibley Dave Baksh|||
314|You Only Live Once|Henry Jaynes Fonda Sophia Kosow|Gene Towne C. Graham Baker||
315||Eduardo Noriega Eric Caravaca Nathalie Richard Leny Bueno Paz Campos Trigo Agathe Dronne Julie Gayet|Christophe Honore||
316||Theodor Friedrich Emil Janenz|Carl Mayer||
317||John Stephen Goodman William Jacob Crystal|Roger Gould Jeff Pidgeon Rob Gibbs Pete Docter||
318|Athanokkade|Kalyan Ram Sindu Tolani Ashish Vidyarthi|Surender Reddy||
319||Soha Ali Khan Abhay Singh Deol Shayan Munshi|Imtiaz Ali||
320||Mukesh Khanna|||
321||William Henry Pratt Turhan Bey Susanna Foster|Curt Siodmak Edward Locke||
322|Atoll K|Arthur Stanley Jefferson Suzy Delair Oliver Hardy|John D. Klorer Frederick Kohner Piero Tellini Renu00E9 Wheeler||
323|The Final Option Who Dares Wins|Judy Davis Richard Widmark Lewis Collins|Reginald Rose||
324||Monica Bellucci|Carl Austin||
325||Haidar Khan Merian C. Cooper Marguerite Harrison Ernest B. Schoedsack|Terry Ramsaye||
326|Blades of Glory|Jonathan Joseph Heder Amy Poehler Romany Malco Regina Marie Fischer Rob Corddry John William Ferrell William Emerson Arnett William Daniels Craig Richard Nelson Nicholas Roger Swardson William Edward Fichtner|Jeff Cox Elizabeth Jean Philipps||
327|Fearless|Isabella Fiorella Elettra Giovanna Rossellini Thomas Edward Hulce John Michael Turturro Benicio Monserrate Rafael del Toro Su00E1nchez Rosa Maru00EDa Pu00E9rez Jeffrey Leon Bridges|Rafael Yglesias||
328|Darling|Esha Deol Fardeen Khan Isha Koppikar|Kusum Punjabi Prawal Raman||
329|Ocean's Thirteen|Elliott Goldstein Eddie Izzard Matthew Paige Damon Bernard Jeffrey McCullough Andy Garcia George Timothy Clooney Scott Caan William Bradley Pitt Donald Frank Cheadle Alfredo James Pacino Caleb Casey Affleck Ellen Rona Barkin|Brian Koppelman||
330||Theodor Friedrich Emil Janenz Hanna Ralph K?the Haack John Gottowt|Fridel K?hne Hans Brennert||
331|Children of Divorce|Esther Ralston Clara Gordon Bow Frank James Cooper|Owen Johnson||
332|Street Smart|Christopher Reeve Morgan Freeman Miriam Spickler Katherine Whitton Baker|David Freeman||
333||Terrance Quinn Rutger Oelsen Hauer Brandon Spencer Lee Call|Charles Robert Carner||
334||Allari Naresh|Varaprasad varma EVV Satyanarayana||
335|Merry Christmas, Mr. Lawrence|David Bowie Takeshi Kitano Ryuichi Sakamoto Thomas Conti|Paul Mayersberg Laurens van der Post Nagisa Oshima||
336|The Sky is Falling|Teri Garr Laura Miller Dedee Pfeiffer Eric Close Howard Hesseman|Florrie Laurence||
337|Acciu00F3n mutante|Fernando Guill?n ?lex Angulo Antonio Resines|Jorge Guerricaechevarr?a ?lex de la Iglesia||
338|The Longest Night in Shanghai|Masahiro Motoki Zhao Wei|Yuji Yamamura||
339||Liubomiras Laucevi?ius Robertas Urbonas Leslie Steven Berks Saulius Mykolaitis Rolandas Boravskis Valentinas Masalskis ?ar?nas Puidokas Monika Bi?i?nait?|Algimantas Puipa||
340||Joel Solomon Cohen Francis Alick Howard Charles Hawtrey|Talbot Rothwell||
341|A Walk to Remember|Shannon Bruce Snaith Mandy Moore|Nicholas Sparks (author) Karen Janszen||
342|The Glass Mountain|Michael Denison Dulcie Gray|Emery Bonnet||
343|Truth in Numbers: The Wikipedia Story|KRS-One Jimmy Wales Brewster Kahle Lawrence Lessig Ward Cunningham|||
344|Robin's Big Date|Justin Jake Long Callie Thorne Sam Rockwell|Will Carlough||
345||Peter Fitz Otto Sander Elke Schletz|Christian Rateuke Hartmann Schmige||
346|Texas Rangers|James William Van Der Beek, Jr. Mark Anthony McDermott Usher Raymond Christopher Ashton Kutcher|Scott Busby Martin Copeland George Durham||
347||Sanjay Khan Danny Denzongpa Zeenat Aman Ashok Kumar|||
348||Eugenie Forde Harry von Meter Vivian Rich|||
349|La Battaglia dell'ultimo panzer|Guy Madison|Giuseppe Chiarolla Giuliana Garavaglia Josu00E9 Luis Merino||
350|Zyzzyx Rd.|Leo Grillo Katherine Marie Heigl Tom Sizemore|John Penney||
351||Shyama K. N. Singh Mumtaz Begum Jehan Dehlavi Mumtaz Begum Bharat Bhushan|||
352|The Trail of Hate|John Martin Feeney|John Martin Feeney||
353|The Cars That Ate Paris|John Meillon Terry Camilleri|Peter Lindsay Weir||
354||Michael Jackson Ola Ray|Michael Jackson John David Landis||
355||Tito Alonso|Israel Chas de Cruz Raimundo Calcagno||
356|Yaadein|Balraj Dutt|Akhtar-Ul-Iman||
357|Black Moon|Joseph Angelo (Joe) D'allesandro Cathryn Harrison|Joyce Bu?uel Ghislain Uhry||
358|The Tenderfoot's Money|Henry DeWitt Carey II|Stanner E.V. Taylor||
359|House Party|Kid n' Play Full Force Robin Harris|Reginald Hudlin||
360||Gregory Walcott James Griffith Constance Smith Larry Dobkin Richard Boone Henry Herman McKinnies Jr. Richard Donald Crenna Richard Widmark Warren Stevens|Harry Kleiner (story) Art Cohn||
361|In My Father's Den|Emily Barclay Miranda Otto David Matthew Macfadyen|Brad McGann Maurice Gee||
362||Archibald Alec Leach Irene Marie Dunn Randolph Scott Gail Patrick|Samuel and Bella Spewack Thomas Leo McCarey||
363||Irfan Khan Madhavan Ranganathan Kay Kay Menon Soha Ali Khan Paresh Rawal|Yogesh Vinayak Joshi||
364|Phir Milenge|Salman Khan Shilpa Shetty Abhishek Bachchan|Atul Sabharwal||
365||Sangeetha Silambarasan Vadivelu Meera Chopra Vedhika|||
366|Get Smart|Kenneth Davitian Alan Wolf Arkin Steven John Carell Anne Jacqueline Hathaway Terence Stamp Dwayne Johnson William James Murray Masayori Oka|Tom J. Astle Matt Ember||
367||Blaise Beckjord Joe Schwartz Michael Ronning Cedric Gracia Kris Holm Trevor Snowdin Brian Lopes Chris Kovarik Chris O'Driscoll Richie Schley Gary Houseman John Cowan (Mountain-Biker) Josh Bender Mike King (Mountain-Biker) Bobby Root Robbie Bourdon|Derek Westerlund||
368||Cipe Lincovsky Liv Johanne Ullmann|Agnieszka Holland Osvaldo Bayer Jeanine Meerapfel Alcides Chiesa||
369|Plunkett & Macleane|Jonathan Lee Miller Ken Stott David Williams Robert Carlyle Matthew Richard Lucas Alan Cumming Tommy Flanagan Michael John Gambon Liv Rundgren|||
370|Perfect Friday|Ursula Andress Stanley Baker David Warner (actor)|Anthony Greville-Bell Conrad Scott Forbes||
371|Academy Award for Documentary Feature March of the Penguins|Emperor Penguin|Michel Fessler Luc Jacquet||
372|Dog Day Afternoon|Christopher Sarandon James Broderick John Holland Cazale Charles Durning Alfredo James Pacino|Frank Pierson P. F. Kluge||
373||Oliver Parniere Delphine Zentout|Catherine Breillat Roger Salloch||
374||Craig Sheffer Jason Scott Lee Diane Neal Alexandra Wescourt Rutger Oelsen Hauer|Joel Soisson||
375|Masked|Hoot Gibson|Hope Loring Harvey Gates||
376|Under Cover Man||John Wilstach||
377||Bhuvaneswari Farjana Rishi Mumaith Khan Kiran Rathod Ali Mallikharjuna Rao M. S. Narayana Brahmanandam Nagendra Babu Gadde Rajendra Prasad L. B. Sriram Tanikella Bharani Venu Madhav|||
378||Deborah Jo Hunter William Forsythe (actor) Jeffrey Alan Combs|Boaz Davidson Kenneth M. Badish||
379|||Andrew Bampfield||
380||Louis Feinberg Symona Boniface Jerome Lester Horwitz Al Thompson Harry Moses Horwitz Judy Malcolm Doris Houck Ethelreda Leopold|Felix Adler||
381||Jean Stapleton James Jonah Cummings Donal Gibson Linda Hunt David Ogden Stiers Russell Means Irene Bedard William George Zane, Jr.|Allen Estrin Cindy Marcus Flip Kobler||
382|Space Cowboys|Tommy Lee Jones Donald McNichol Sutherland James Scott Bumgarner Clinton Eastwood, Jr.|Ken Kaufman||
383||Michael Hordern Derek Jules Gaspard Ulric Niven van den Bogarde Jon Whiteley Cyril Cusack|A. J. Cronin Lesley Storm||
384||Mariel Hadley Hemingway Colin Firth Ir?ne Jacobs|Mike Binder||
385|Till glu00E4dje|Birger Malmsten Stig Olin Maj-Britt Nilsson|Ingmar Bergman||
386||Virginia Clara Jones Tom D'Andrea Zachary Scott Helen Westcott Dorothy Malone|David Lang||
387||Dorothy Stickney Cornelia Otis Skinner Alfred Reginald Jones Ruth Carol Hussey Gail Russell George William Crisp|Dorothy Macardle Dodie Smith Frank Partos||
388|The Secret Fury|Lily Claudette Chauchoin Robert Bushnell Ryan Jane Cowl|Lionel Houser Jack Leonard James O'Hanlon||
389|Elegy|Krishna Bhanji Patricia Davies Clarkson John Peter Sarsgaard Penu00E9lope Cruz Su00E1nchez Sonja Bennett Debbie Harry Dennis Lee Hopper|Nicholas Meyer Phillip Roth||
390|Futurama: Bender's Big Score|Catherine Louise Sagal John William DiMaggio Billy West (voice actor) Tress MacNeille Maurice LaMarche|David X. Cohen Ken Keeler||
391||Ivo Livi, born of Catholic peasants in Italy|Henri Verneuil Henri Decoin||
392||Emraan Hashmi Tusshar Kapoor Isha Sharvani Paresh Rawal Tanushree Dutta|||
393|Scarfies|Willa O'Neill|Duncan Sarkies & Robert Sarkies||
394||Lucas Puig Brandon Biebel Eric Koston Marc Johnson (skateboarder) Rob Welsh Guy Mariano Nick Jensen JB Gillet Mike Mo Capaldi Cairo Foster Jesus Fernandez (skateboarder) Danny Brady Rick Howard Alex Olson Jeff Lenoce Scott Johnston JJ Rousseau Anthony Pappalardo Mike Caroll|||
395||Mel Blanc|Tedd Pierce||
396|The Day of the Locust|Donald McNichol Sutherland Karen Blanche Ziegler Oliver Burgess Meredith William Atherton|Waldo Salt||
397|Where the Green Ants Dream|Bruce Spence|Werner Stipetiu0107 Bob Ellis||
398||Edward Glen Mara Elizabeth Wilson Cody McMains Peter Henry Fonda Russell Means Michael E. Rodgers Alexander Rae Baldwin III Kevin Frank Britt Allcroft Colm Feore Linda Ballantyne Neil Crone Susan Roman Didi Conn|Britt Allcroft||
399|Amorosa|Stina Ekblad Erland Josephson|Mai Zetterling||
400||Donald Sumpter Mary Collinson Opal Butterfly Flanagan (model) Madeleine Collinson|Derek Ford Stanley  Long||
401||Ferrah Leni Fawcett Rex Reed Jo Raquel Tejada John Marcellus Huston Mary Jane West|David Giler Michael Sarne Gore Vidal||
402|Strange Days|Ralph Nathaniel Twisleton-Wykeham Fiennes Angela Bassett Juliette Lewis|Jay Cocks James Francis Cameron||
403|Madhumasam|Suhasini Rajaram Naidu Sumanth Parvati Melton|Chandra Siddhartha (screenplay)   Satyanand (dialogue)   Balabhadrapatruni Ramani (novel)||
404|Dus|Salman Khan Shilpa Shetty Raveena Tandon Sanjay Dutt|Mukul S. Anand||
405||Tak Sakaguchi|Ryuhei Kitamura Yudai Yamaguchi||
406||Sebastian Cabot Leo Gordon Strother Martin George Montgomery Letz Diane Brewster|Leo Gordon||
407||Anula Karunatilleke Punya Heendeniya Tony Ranasinghe|P. K. D. Seneviratne||
408|Il Ladro di bambini Grand Prix (Cannes Film Festival)|Giuseppe Ieracitano Valentina Scalici Enrico Lo Verso|Gianni Amelio Stefano Rulli Sandro Petraglia Giorgia Cecere||
409||Susan Kingsley Rainbow Harvest Alyssa Jayne Milano Danny Aiello Roxanne Hart Nell Barry Sarah Boyd|Marisa Silver||
410|Dark Harvest|Jessica Dunphy|Paul Moore||
411|Eraserhead|Charlotte Stewart Marvin John Nance Jeanne Bates|David Keith Lynch||
412||Sangeeta Sabiha Tariq Aziz (actor) Shahid (actor) Talish|Hasan Imtisal||
413||Charles Dennis Buchinsky Jill Ireland Robert Selden Duvall|Eliot Asinof Elliott Baker||
414||Francis Xavier Aloysius James Jeremiah Keenan Wynn John Allen Astin Peter Alexander Ustinov Pamela Tiffin Jonathan Winters Harry Bratsburg|Jim Lehrer||
415|Stardust|David Essex Adam Faith|Ray Connolly||
416|Short Cuts Golden Lion|Timothy Francis Robbins Fred Ward Rosalie Anderson MacDowell Bruce Davison Julie Anne Smith|Robert Bernard Altman Frank Barhydt Raymond Carver||
417|Going Upriver||Douglas Brinkley||
418|Beyond Evil|John Saxon Michael Dante David Opatoshu Janice Lynde Lynda Day George|David Baughn Herb Freed Paul Ross||
419||Ernest Frederick McIntyre Bickel Cedric Webster Hardwicke Charles Laughton Rochelle Hudson|W. P. Lipscomb||
420||Kitty Bradbury Joseph Francis Keaton Joseph Frank Keaton VI Craig Ward Natalie Talmadge Monte Collins Buster Keaton Jr. Ralph Bushman Joe Roberts|Clyde Bruckman||
421|Narco|Isabelle Breitman Guillaume Canet|Alain Attal (story) Philippe Lefebvre (story) Gilles Lellouche||
422|Renegades||Andr? Armandy Jules Furthman||
423||Pran Sadhana Shivdasani Shammi Kapoor|||
424|Golden Lion|Vladimir Vujoviu0107 Cecile Aubrey|Henri-Georges Clouzot Jean Ferry||
425||Caroline Cellier Jean Yanne Michel Duchaussoy|Nicholas Blake Paul G?gauff Claude Chabrol||
